attrib1,attrib2,attrib3,class
4.084901,0.6941,0.742979,0
1.206993,3.208528,6.563313,0
6.497515,1.640619,9.824722,0
1.838411,0.25054,9.059668,0
8.363149,1.631035,6.374974,1
6.54426,3.728733,9.105662,1
1.213099,3.055911,9.904944,0
1.221897,0.30244,4.290805,0
1.754414,2.454007,6.921118,0
0.589346,6.398477,2.719231,0
8.512624,5.594652,5.563348,0
7.070442,7.233716,5.094929,1
0.490176,3.260421,7.266446,0
6.701884,1.225382,9.59658,0
4.046944,1.101715,9.558826,0
1.236712,6.169514,4.818624,1
3.976526,2.137671,5.599131,0
5.986325,2.920934,8.764427,1
5.397619,6.418367,9.706215,1
7.298239,8.867444,0.437027,1
7.252815,8.700983,5.107128,0
6.080709,1.205546,6.696104,0
4.387277,0.158471,8.355283,0
3.769585,4.596191,3.536261,0
3.041234,0.36764,9.613468,0
3.386553,2.991263,0.842521,1
7.638205,4.277001,9.991834,1
6.304712,5.528079,5.434191,1
4.376139,0.721735,2.396647,0
9.072812,2.464856,2.484888,1
4.992285,0.547669,9.29889,0
8.540498,7.777117,2.164067,1
7.433696,9.291026,5.898935,1
7.569156,6.613193,7.865628,0
6.843921,0.34901,1.178401,0
7.191904,3.141502,5.178348,0
3.59237,2.354357,8.426406,0
6.931556,6.397728,8.801088,0
2.424145,1.764081,5.417378,0
0.965196,0.11519,4.564616,0
1.371788,2.816156,2.757302,0
7.867003,0.909099,1.055618,0
5.288912,1.736651,9.986348,0
3.387479,1.575633,6.463965,0
6.165394,0.302342,6.688943,0
8.805987,6.304014,9.288937,1
4.019488,1.330054,9.463255,0
0.141887,0.163454,6.891293,0
4.899609,4.962172,7.263757,0
3.786229,7.866092,7.127522,1
7.975631,5.270359,4.176354,1
9.897893,7.174386,2.704109,0
4.969632,2.952259,8.623217,0
5.90051,9.377916,2.585037,0
6.670734,4.26443,4.005572,1
5.127188,4.786759,1.311688,1
1.602069,1.128592,2.810301,0
7.331289,0.862226,1.512968,0
7.779503,2.881007,7.813547,1
9.657951,7.803253,3.170249,1
7.018792,0.825668,5.269221,0
9.002531,0.358949,3.764263,1
6.746737,1.139923,2.91691,0
7.237512,7.76991,2.422761,1
5.059161,2.407573,0.377036,0
4.016684,2.098839,1.149068,0
0.018198,0.090868,9.208506,0
3.093349,2.274056,5.136233,0
5.690816,4.540692,4.697351,1
9.311125,6.429106,3.496705,0
2.316986,0.172774,9.150788,0
6.379469,3.033671,0.65397,1
3.686451,1.3938,7.903412,0
4.704182,6.306396,0.415634,0
2.34158,0.73234,9.17513,0
0.229699,4.688618,5.523868,0
8.816811,6.482772,9.439817,0
4.169065,2.470288,0.609491,0
0.170115,8.040599,6.445522,0
0.035024,8.368748,6.481161,0
6.998353,1.956609,7.162348,0
3.35069,5.793622,5.213967,1
3.719405,8.57127,8.070764,1
1.53548,9.303414,4.595106,1
6.450946,7.895042,8.540612,0
1.404173,2.65011,1.7296,0
0.591832,1.121768,1.630734,0
6.912259,3.490107,2.281355,1
1.215682,0.002309,9.520414,0
3.37935,8.337982,3.882611,1
0.142653,2.828107,7.08858,0
6.615556,8.852841,1.891668,1
1.395638,3.158581,8.036912,0
6.864306,2.245739,4.445994,1
7.236276,0.367987,4.910407,0
0.539857,4.843744,8.935485,0
1.567243,4.317808,6.869177,0
1.05936,9.834627,6.010314,1
8.157702,1.555786,4.534042,1
7.479935,0.171322,9.397951,0
8.912894,1.561529,7.46197,1
4.062529,7.669915,3.280389,0
0.787746,3.928289,8.932463,0
6.857754,4.637673,1.277676,0
2.091103,1.508509,1.967202,0
1.297697,1.475499,4.318133,0
6.775948,4.54075,2.74585,1
9.373269,2.405665,3.953929,0
4.699536,8.196824,9.690972,1
1.217974,0.791307,7.655988,0
9.19573,9.044196,8.554908,0
1.076574,1.119101,2.849911,0
2.833335,2.097789,5.986477,0
1.704342,6.148439,8.792409,0
0.891658,5.729055,5.577267,0
0.298875,1.474735,1.235401,0
1.003754,8.189424,7.478598,1
9.451021,0.275739,7.469232,1
0.725093,4.011179,0.959473,0
5.005414,0.965814,1.443545,1
8.187796,2.148099,8.337721,1
8.264131,2.981654,1.588645,1
0.817946,1.233661,4.259137,0
9.231628,8.815025,8.013543,0
2.241004,3.73756,9.655009,0
2.614053,4.487822,0.939369,0
0.6611,5.114266,9.058956,0
8.315494,7.254406,3.77079,0
5.796584,8.039319,7.044435,0
2.900329,0.792495,4.824366,0
4.613827,1.196398,5.105833,1
8.822352,8.799772,0.604599,1
8.070986,6.609952,2.855528,1
3.267231,1.703064,4.265658,0
0.393861,3.517254,0.426235,0
4.068141,2.743481,0.971355,0
2.92982,8.855047,5.443436,1
1.362646,3.819554,8.400308,0
2.035422,4.245743,3.486926,0
0.380967,6.651444,2.097108,0
3.206534,2.259268,4.839821,0
9.857787,9.458035,9.471917,1
0.577663,5.008963,7.80495,0
1.509712,0.479845,4.677812,0
2.357697,2.296599,8.657773,0
0.303626,1.177706,5.057751,0
2.49285,7.966813,7.079271,1
7.181458,9.030189,4.251469,1
4.284636,1.417093,0.57742,0
9.941866,7.276157,7.240829,0
1.858078,4.025529,4.827462,0
1.086381,3.236448,4.761437,0
5.824192,1.731751,7.533002,0
3.618254,1.68428,9.21648,0
1.0586,4.514581,7.859971,0
5.969724,8.243264,5.992626,0
9.611818,2.381135,4.531882,1
5.29126,0.320094,0.248256,0
0.839915,1.262991,8.336125,0
1.602374,1.074561,7.278077,0
5.08324,1.859177,9.834465,0
6.897131,0.957589,1.729434,0
0.368004,4.005393,0.264806,0
0.627495,5.788432,4.141923,0
8.643764,7.989182,3.497806,1
3.055135,3.522905,9.648243,0
7.205624,0.605917,5.522442,0
4.487307,1.517588,4.331629,0
3.669642,3.243557,5.525111,0
8.644286,5.237671,2.028351,0
2.61824,2.826402,4.01792,0
0.544653,2.487445,2.814738,0
3.307224,5.052657,1.645982,1
6.101709,8.521722,5.861149,0
3.096457,0.966305,2.324792,0
1.354909,6.330764,2.884545,0
6.696159,5.177064,5.543976,1
2.236611,4.820413,4.216367,0
4.998932,9.145308,0.846766,0
5.353842,0.749537,9.801852,0
4.783721,8.7529,4.124413,1
1.890692,5.15113,5.615822,0
5.811156,7.907596,3.617098,0
0.240077,6.48949,8.264054,0
7.53221,8.310947,7.898097,0
2.587839,2.077982,8.454756,0
7.784838,7.269277,3.588757,0
1.194965,0.387227,8.731251,0
7.402802,8.085268,9.51366,0
5.218259,4.341976,3.102073,1
7.425381,9.605305,1.345286,0
2.262093,5.232341,5.534113,0
3.366573,2.227798,3.934475,0
3.292825,3.590773,6.242174,0
4.722173,1.586863,3.855017,0
8.519218,0.491339,8.898259,1
7.171533,8.270075,3.842125,1
7.68581,0.00155,7.059967,0
7.714818,0.247444,3.630779,0
0.320969,5.822833,2.476549,0
7.714687,3.593386,6.031253,1
5.938742,9.001501,6.14791,0
9.344963,1.733911,1.655577,1
9.408617,0.951421,4.085747,1
1.83504,4.788154,3.453072,0
8.918883,1.113364,2.244243,0
5.819829,4.477218,4.135089,1
4.928598,1.842629,5.997764,0
5.727322,8.398314,9.791671,1
5.638893,0.824242,3.634612,0
7.217687,7.214348,5.210938,1
1.12505,0.220396,2.126241,0
9.272796,1.984864,0.320629,1
3.255618,4.248374,9.197378,0
5.330505,2.677349,7.464355,1
5.191867,9.395373,7.082503,1
4.495246,2.258563,8.734173,0
5.296247,7.213565,5.289676,1
3.056623,1.268158,6.741874,0
1.326075,3.754836,6.121662,0
8.528791,6.060784,9.265922,1
7.688144,0.990763,4.201452,1
0.661935,0.901893,9.621221,0
2.732941,4.250148,8.231988,0
5.2037,0.259757,9.968874,0
9.189948,6.502347,2.309402,1
3.284516,0.079655,8.327528,0
1.69246,2.131759,2.84513,0
0.382882,4.345443,0.118499,0
5.19234,9.342862,8.906264,1
9.47068,2.751386,3.385149,1
5.568276,9.904133,6.081838,0
5.678331,1.710529,1.844477,0
0.485975,0.946326,1.377818,0
3.608224,2.601682,0.986035,0
0.63069,1.629073,9.822846,0
1.748628,2.123628,5.382649,0
9.414138,9.343245,6.085006,1
0.254828,4.710487,7.131356,0
1.746108,7.182659,4.88372,1
0.618302,4.655788,4.74262,0
1.552893,5.705668,1.824857,0
0.445679,6.177953,9.840544,0
4.031687,6.426135,2.317697,0
4.868692,9.167131,4.716735,1
4.91836,8.508216,1.963712,1
3.586436,2.436993,7.16174,0
4.122108,7.589487,9.11664,1
7.066191,0.673879,0.089385,0
5.324217,6.961119,0.398684,0
7.504615,3.609558,6.425044,1
8.434609,7.969018,2.636312,0
2.359376,1.239562,1.681131,0
2.586658,4.598491,4.93381,0
2.700972,5.361496,6.910066,0
5.715989,0.117134,8.011796,0
9.62371,0.441888,1.778613,1
4.048724,3.098979,3.577495,1
8.22739,1.960664,2.622378,1
4.934887,2.05547,2.505747,0
5.14301,1.139445,8.21436,0
5.733335,8.026511,9.562711,1
3.630925,0.150208,9.192287,0
8.921677,9.114816,2.338751,0
1.249616,8.869871,1.50396,0
0.953112,0.336419,8.871104,0
0.298605,6.940708,3.511505,0
8.179828,7.894103,7.799713,1
1.283241,6.292443,1.664561,0
1.087422,5.260301,8.703819,0
3.920463,2.198681,6.532967,0
7.95177,1.027285,6.588919,0
0.577399,7.450253,9.534119,1
9.760393,2.022117,3.305582,0
0.152818,4.952062,2.449184,0
3.14401,1.456193,7.563749,0
5.995148,0.201701,8.876569,0
7.026543,0.854426,3.163191,0
9.616202,2.036315,8.707561,1
0.91961,1.131367,4.697938,0
7.11561,1.335661,5.51488,1
1.379638,6.065749,7.181974,0
3.497254,4.455429,2.494418,0
3.25324,2.87991,3.723008,0
7.718171,6.466021,8.762791,0
2.779473,6.053286,9.30096,1
3.850452,6.154255,8.344926,0
4.846233,5.966029,4.351494,0
0.5556,3.598767,0.989822,0
3.735388,1.318514,0.66032,0
8.624759,6.816817,9.358385,1
3.202994,2.744015,2.395468,0
0.425425,3.440538,7.455175,0
2.900965,1.325921,4.134686,0
4.140135,0.936843,3.796703,0
6.974046,0.98917,1.811237,0
7.610494,4.951809,0.747344,0
5.459671,8.905862,3.454229,1
5.729698,5.048158,1.975025,1
3.382783,4.85843,0.080501,1
6.678483,0.320692,3.958325,0
0.360278,3.753099,9.163952,0
2.90764,5.826525,0.218149,1
9.387915,3.580378,1.227049,1
4.383982,8.899631,5.988473,1
6.949891,1.972785,4.022355,1
8.07048,3.823983,6.456581,0
0.534381,3.961377,8.061866,0
5.311035,1.759939,8.884007,0
7.199431,0.060394,4.598884,0
3.1474,3.70017,2.309412,0
7.716215,0.199884,7.532098,0
8.139868,5.9486,4.449194,1
1.615279,5.037971,0.361592,1
2.284491,0.816005,4.79445,1
3.827443,3.545687,3.386648,0
2.687877,8.769148,6.315652,1
5.556733,6.16284,4.379,1
0.517353,9.00348,4.483478,1
0.598556,9.113114,4.04634,1
2.495735,2.811,5.891012,0
4.396263,0.102827,2.023316,0
0.539961,7.796685,7.54997,1
5.501521,1.51892,8.756592,0
4.059007,1.764403,3.962302,0
4.182946,0.01541,5.927861,0
6.9551,8.699604,6.358671,1
0.771966,2.788776,5.939037,0
3.629822,5.170598,2.954908,1
0.34356,1.151776,7.298302,0
4.493656,0.737876,5.203048,0
3.52414,5.676982,2.07071,1
0.323555,5.125023,5.969342,0
8.661702,0.463863,1.94542,1
0.644832,0.393933,1.948945,0
0.478686,4.086395,5.835021,0
8.472319,0.36824,1.399185,1
4.679539,2.820232,6.42263,0
0.037485,4.910088,4.542494,0
8.66045,9.513828,2.465355,1
4.765915,1.70183,4.119391,0
8.338354,6.064538,3.909773,1
1.598579,3.833202,2.983009,0
1.447897,0.826067,0.804649,0
9.433202,4.838526,9.159944,1
8.943625,7.912334,5.97972,1
1.206069,5.752312,1.532982,0
1.842902,1.659447,4.082987,0
3.948512,3.578883,9.819131,0
1.25487,0.573846,9.345899,0
2.373422,5.604826,7.184412,0
2.154933,9.167701,1.731361,0
2.391277,0.132999,7.60523,0
3.949459,2.907176,6.253844,0
0.16756,1.518664,6.518035,0
2.030524,1.959059,8.290187,0
0.152636,6.287991,4.160827,0
1.94649,5.586823,3.057416,0
6.485221,3.768748,8.367436,1
6.423705,8.050697,1.358334,1
0.084137,0.118465,6.104551,0
3.32603,3.703817,8.993451,0
7.175055,4.078172,5.350165,1
0.245773,5.437375,3.692129,0
4.255035,3.262357,4.125037,0
6.063596,0.825567,3.030464,0
4.971413,4.738963,3.816197,1
4.574929,1.688841,8.876969,0
1.066383,7.236359,7.816314,1
1.672583,0.833817,9.241385,0
0.206544,0.96318,5.968116,0
6.411962,8.200584,7.717537,1
1.695951,4.31178,4.914944,0
2.458974,0.424639,7.700735,0
3.944817,6.146809,3.84569,0
8.7333,8.506918,2.984984,0
1.346245,5.043341,8.216473,0
8.38971,0.518596,9.115529,1
2.660402,3.214466,8.750758,0
7.896378,6.876682,4.800232,1
5.137799,4.478211,8.517181,1
0.483145,1.547803,8.386509,0
0.055413,4.952002,9.622512,0
0.17003,4.904988,9.68608,0
2.496578,3.543048,7.158625,0
4.108494,7.739306,1.359003,1
1.239142,1.96419,1.33893,0
0.166101,5.90571,3.152865,0
6.939783,7.686637,6.880133,1
4.96924,0.997194,8.694756,0
5.822114,8.217108,7.130746,0
6.370821,9.752328,3.581717,1
2.36472,2.857801,4.416187,0
3.554457,9.387669,6.893769,0
9.84939,0.962738,1.668723,0
3.583433,1.230198,1.806127,0
5.049175,2.46362,0.48909,0
0.295488,2.479494,1.95538,0
9.9247,2.267949,2.473768,0
0.503642,5.873798,5.25722,0
8.704947,4.216531,2.9632,1
0.390408,0.115367,3.791096,0
9.336482,3.794572,9.386233,1
4.518014,2.776673,6.520432,0
5.822284,7.185694,6.743483,1
3.98142,2.374084,0.27991,0
7.218519,0.250297,4.788764,0
6.302037,1.621949,6.687545,0
2.017629,6.156256,8.137609,1
3.245014,3.237721,6.68779,0
8.948775,0.763349,6.008867,0
5.671451,5.305833,8.271081,1
4.711577,2.18654,4.985857,0
4.108521,3.436971,7.396277,0
1.54732,1.071394,4.960598,0
3.862875,0.237399,9.750822,0
4.599765,6.9154,3.40405,1
0.180324,6.338553,7.565017,0
0.880461,1.180281,1.279205,0
5.416913,0.788392,9.341365,0
2.458023,0.485638,6.308459,0
7.705274,7.258281,2.673431,1
0.205547,4.036418,4.440983,0
5.792795,0.024113,1.593211,0
3.402213,1.313928,0.265013,0
1.112878,2.499925,1.239128,0
4.612933,1.183295,0.697903,0
9.215758,0.808993,9.963642,1
2.10439,5.535664,0.59399,0
9.896272,3.450235,2.783043,1
2.421539,5.367729,8.515505,0
7.251848,2.602034,3.26416,1
9.373482,6.777485,1.205584,1
3.999244,8.879425,4.803913,1
1.852742,7.385703,1.044509,1
2.427196,9.67131,9.449425,1
5.640074,0.586655,6.731912,0
6.94474,2.41518,1.114919,1
4.080729,2.708518,6.918238,0
0.307207,3.121267,4.051483,0
5.35351,8.611959,6.977766,1
7.969183,5.338309,7.300281,1
4.155181,1.5624,4.003458,0
0.358288,6.304748,0.293439,1
2.033814,9.113702,2.452429,1
7.072128,8.551248,6.90343,1
0.207474,5.054914,3.226054,0
2.748185,0.701983,2.386325,0
2.124703,8.347333,5.609624,1
4.865352,4.156946,1.047058,0
1.930965,0.314251,0.665299,0
3.386026,4.099422,9.667811,0
0.985204,4.095137,8.537782,0
6.027415,5.434053,2.855606,1
6.123834,1.428979,3.258209,0
3.855597,3.15158,4.258943,0
3.551289,9.100576,8.346877,0
0.500742,3.465028,2.311011,1
1.06142,0.017526,5.619534,0
9.474309,2.425338,4.079908,1
0.953138,9.095476,1.27002,1
0.090855,1.463673,0.395315,0
2.888429,8.76207,1.448034,1
1.358067,8.549705,6.638332,1
0.368019,6.042224,9.027959,0
0.858877,4.503245,2.586379,0
4.432597,7.774085,5.893949,1
4.602777,9.678836,4.094882,0
0.051952,4.374878,6.764666,0
3.355108,2.495427,4.78619,0
3.668402,1.922609,9.637035,0
3.156656,0.662304,1.037875,0
9.370417,4.858107,2.503412,1
2.311105,2.646833,5.388813,0
1.582886,1.156725,4.212067,0
2.562187,4.949401,7.087579,0
2.861997,3.514173,0.815997,0
2.220528,5.067741,0.467234,0
8.308648,1.989111,6.983706,1
1.618862,1.209809,9.72387,0
2.244781,5.294727,1.089284,0
3.301229,0.276614,8.246135,0
3.243283,3.019007,3.625236,0
2.260911,1.008342,1.075959,0
5.459377,0.502311,6.409912,0
1.604348,1.374366,1.062487,0
2.897865,4.904288,4.601309,1
4.883668,3.961201,3.513045,1
5.248911,1.266232,5.558066,1
3.707241,8.566359,3.510891,0
1.007439,0.697185,4.516947,0
4.462573,2.463643,5.864389,0
2.042036,0.757494,4.758137,0
1.552952,6.577202,8.389813,1
4.567036,2.274321,3.656311,0
2.403982,1.798863,9.74706,0
1.816598,3.456531,1.372408,0
0.944902,3.649558,3.061039,0
8.300546,2.369547,0.530897,0
0.42988,1.104129,0.396906,0
0.352231,7.177342,7.436829,0
4.164871,5.526753,1.281489,1
9.401312,6.865294,3.15605,0
6.610136,1.088173,7.33287,0
1.827474,5.660528,0.897987,0
8.96506,7.574856,4.12846,0
0.108663,7.78601,8.760271,0
3.822831,0.528071,6.806394,0
7.300827,7.425034,1.052272,0
5.610092,3.118673,4.617352,0
4.5843,0.786699,2.827656,0
6.153999,0.861922,1.154875,0
2.664369,4.068673,6.6128,1
0.599973,6.795999,0.789667,0
3.971521,0.885922,9.587373,0
5.995281,1.240791,5.100858,0
1.391049,5.585224,6.613545,0
1.436237,4.469507,9.481786,1
6.727454,0.667044,3.216749,0
6.81924,1.882914,6.132517,1
0.523421,2.384573,9.677264,0
0.744977,9.630721,4.872809,0
7.388169,9.787592,0.116154,1
5.446679,0.768732,0.941639,0
7.160506,2.224345,4.925304,1
0.373366,6.745015,9.932941,0
7.933688,7.328302,9.57341,1
1.064424,6.2497,0.449069,0
3.651001,7.727428,1.238477,0
2.843686,0.181347,9.752738,0
5.814389,1.560246,6.418048,0
0.717613,6.07104,4.116063,0
8.408817,9.616305,2.568775,1
3.803232,2.463376,8.593717,0
5.094639,2.547093,9.686967,0
1.591646,0.99077,7.5642,0
8.388703,1.620848,9.142119,1
2.93554,2.693155,6.783118,0
0.221116,0.138583,9.366267,0
0.429874,2.729779,7.779141,0
4.27692,0.511071,4.640541,0
5.163849,0.649861,9.748235,1
1.41776,1.663953,0.271283,0
4.443226,4.598015,1.074192,1
0.30595,0.341525,7.489243,0
6.715653,5.353147,2.839613,1
1.653494,0.813395,5.384561,0
5.356277,2.384594,3.236859,0
3.628523,0.75511,3.58548,0
1.529532,8.79641,1.811987,1
3.983288,9.925647,1.131681,1
3.322742,1.557962,8.382664,0
1.59397,7.730202,8.934238,1
2.882343,2.941128,5.419284,0
1.243201,0.128482,4.551867,0
0.250057,5.056277,3.935755,0
2.809535,9.18996,8.853726,0
0.290099,0.095134,3.39253,0
7.637042,4.209659,0.895286,0
0.157594,2.910262,7.776948,0
6.42963,0.866866,8.730522,0
1.52794,2.251999,9.702265,0
4.237625,6.540897,4.524071,0
9.563927,7.163775,6.688378,1
5.459083,4.600678,7.317246,1
2.196447,2.418933,3.929172,0
7.782304,1.064019,7.300396,0
0.071757,1.57139,9.023055,0
1.739735,3.088253,4.759177,0
1.119677,4.33713,7.203069,0
7.222387,0.354552,9.027317,0
0.928567,5.191966,0.069015,0
7.271203,4.29778,5.341226,1
8.456727,1.131802,0.241875,0
9.728005,1.511137,6.897243,0
9.145614,2.821939,4.493185,1
6.758456,6.147005,7.811695,1
6.92595,3.460811,8.098282,1
5.388155,0.129219,2.683513,0
9.307747,9.516653,2.321608,1
0.147354,6.290611,7.589986,0
1.878554,3.617691,6.789203,0
5.158894,6.285064,8.677069,1
2.704035,4.464436,1.723552,0
3.181981,3.884929,5.75189,0
8.468523,7.713032,6.102834,1
1.956329,8.751454,3.870407,1
8.38187,7.63352,4.851052,1
4.302244,2.120984,6.622929,0
1.739531,5.469642,0.035344,0
2.627411,0.306051,0.532477,0
0.754264,5.788687,3.69815,0
6.140389,6.517456,9.927218,1
6.719422,6.388686,3.808948,1
3.014859,4.820703,5.418221,0
4.918879,6.858493,0.628876,0
3.877198,1.281982,9.970826,0
3.197723,5.865287,9.441949,1
2.448956,2.063755,0.33716,0
1.819119,0.219648,4.246223,0
8.158919,6.853497,2.376693,1
1.480328,5.652692,4.496868,0
8.574609,5.961563,7.032449,1
7.399774,6.265039,6.473614,1
4.021502,5.499879,8.061284,0
3.046252,2.453178,9.693331,0
2.127618,6.285332,0.164948,1
2.241473,4.191782,2.52716,0
7.479036,5.849777,1.089072,0
6.514973,6.853983,2.534075,1
3.516412,4.240504,1.393323,0
8.024313,2.393085,7.860002,1
3.110803,3.713575,6.086128,0
4.170736,5.389937,7.709903,1
4.452896,7.833356,1.826095,1
4.936096,0.657747,4.963702,0
6.594013,3.432314,0.222769,0
3.692191,8.987264,9.02218,1
1.067381,7.250292,1.65512,0
4.998905,1.892373,0.774143,0
4.656099,1.018859,5.153288,0
3.029673,4.78468,2.169468,0
1.387425,5.506691,9.554231,1
4.71742,3.471841,5.157973,0
7.910302,4.403624,8.182811,1
2.855753,6.763102,6.447402,1
3.557731,3.219193,4.489424,0
9.582108,0.597251,4.930099,0
3.379333,5.436277,4.912069,0
4.248699,6.94111,5.998885,0
5.424459,4.737135,9.150814,0
6.815507,1.620144,1.025048,1
0.666576,6.805269,8.446912,0
7.75289,5.517648,8.45586,1
3.509532,3.630918,9.841001,0
1.241341,5.936613,6.913357,0
7.40848,1.908192,7.576369,1
7.460431,1.668973,4.470284,1
9.187337,5.26193,9.25118,1
0.576066,6.968234,5.178206,0
4.920008,2.129641,8.649046,0
2.798944,4.814418,1.035194,0
1.032147,1.624887,1.287143,1
0.236606,2.00068,6.073108,0
2.9545,4.932489,5.781634,0
7.164547,0.881813,4.014103,1
2.671337,9.128101,7.162092,1
1.108683,3.034792,3.991814,1
3.494982,2.820966,4.593667,0
1.257434,0.160847,3.450849,0
0.923231,5.027227,0.051731,0
7.805557,9.800815,7.56034,1
8.501198,4.57482,7.161194,0
5.405383,1.108543,5.088702,0
6.673278,3.771518,3.276937,1
0.278477,5.421323,8.92848,1
9.556569,7.055387,2.492696,0
7.885088,8.057148,3.748311,1
7.53792,0.739739,1.773776,0
9.358438,2.565643,7.057738,1
0.576529,3.806274,5.537654,0
9.771413,0.892134,7.384921,1
9.82149,1.055205,4.041298,0
5.513481,2.727166,6.007082,1
6.118882,0.294798,3.824404,0
6.024273,0.190953,0.8561,0
3.54951,3.394567,7.014204,0
0.51237,2.437938,9.805965,0
6.867916,1.470376,0.309422,1
2.251865,1.900916,4.837831,0
0.41493,3.180414,3.750493,0
3.52636,0.500977,1.168541,0
2.396443,2.333028,2.481158,0
5.805941,1.992417,1.296446,1
4.643424,1.994108,8.593458,0
3.036656,3.17872,4.286781,0
1.340929,3.112369,9.257051,0
8.643146,9.666447,9.223208,1
6.459123,1.069791,0.413373,0
2.787527,9.704948,4.495106,1
5.572666,1.812848,7.125457,0
2.725059,1.535724,2.578029,0
1.685963,5.096911,8.664903,0
6.832167,0.094159,5.628283,0
1.151067,3.460968,8.249121,0
5.178581,0.793962,1.20845,0
6.036526,0.344996,6.86761,1
4.027314,6.84205,8.852113,1
4.16264,0.484582,0.829487,0
5.375471,8.203449,8.008325,0
1.351779,2.846038,3.433452,0
3.227152,1.629732,6.48808,0
4.116099,2.529821,7.640121,0
8.533544,4.408714,0.997631,1
7.440133,8.660758,2.04755,0
7.799764,4.94207,4.978157,1
3.242999,9.22086,2.896887,1
8.130862,7.72525,2.940666,1
8.821298,2.965122,5.676357,0
5.274514,7.782389,5.246787,0
7.528642,3.728769,5.294581,1
0.525074,6.171934,3.144796,0
8.931476,4.458184,1.353751,0
6.337808,7.305339,5.923836,0
4.698658,5.788497,1.608914,1
0.014672,1.648407,6.171171,0
4.652724,2.521823,8.221459,0
8.676003,1.761825,2.053422,1
0.036449,1.439365,8.189985,0
2.225898,5.444685,1.325448,0
0.558928,4.645808,8.425552,0
1.115495,3.575921,8.845626,0
5.098424,1.988149,1.058713,0
8.405279,9.386181,6.306198,0
8.844267,9.965954,3.964078,0
8.401499,8.971761,8.948971,1
1.866471,6.865597,7.985792,1
1.207013,1.919669,0.709172,0
4.983938,2.333047,3.978678,0
0.64722,8.32853,5.713884,1
3.681961,3.185428,3.79019,0
4.523149,6.109252,6.78846,1
3.624091,3.950579,6.588597,0
0.083723,4.440377,8.644768,0
0.006785,2.579279,2.500296,0
9.461696,4.35918,6.664001,1
2.157604,8.361078,5.597169,0
0.175531,3.72012,4.548197,0
4.488345,7.511174,1.530541,1
0.925296,2.209064,7.559092,0
7.206518,6.228989,4.835968,1
2.112957,5.336465,1.32041,1
2.328946,1.432312,1.070037,0
5.971334,5.619823,8.402852,1
9.816779,2.419969,0.894352,1
8.370183,7.921874,0.156721,0
1.031278,3.010433,0.506776,0
4.102813,1.141623,0.541457,0
2.628645,4.217117,9.821911,0
6.492254,0.819329,5.866457,0
2.176401,1.138545,5.427472,0
7.165641,6.602065,1.593197,1
2.504103,3.519655,2.35449,0
6.477017,4.055861,1.835719,0
1.955194,2.331855,9.000043,0
8.806128,2.746961,7.775822,0
7.458215,1.426094,4.234401,1
0.555362,0.147578,4.518873,0
6.617667,2.285714,7.325224,1
6.595446,4.174795,4.597661,1
6.143595,1.646784,0.228506,0
8.826557,6.856501,7.176378,1
1.201686,5.263918,2.925073,0
0.35964,3.307296,9.274107,0
4.471316,8.524417,0.51867,0
9.056363,9.759584,6.702165,1
0.571294,5.2723,1.525071,0
1.516578,8.565479,8.935457,0
3.969767,8.005258,0.951342,1
2.069747,4.124834,7.947232,0
4.621175,1.925181,3.368243,0
6.234461,0.262146,5.725594,0
8.731544,2.583898,8.620287,1
